,地方連絡協議会名,都道府県名,特殊作業員,普通作業員,軽作業員,造園工,法面工,とび工,石工,ブロック工,電工,鉄筋工,鉄骨工,塗装工,溶接工,運転手（特殊）,運転手（一般）,潜かん工,潜かん世話役,さく岩工,トンネル特殊工,トンネル作業員,トンネル世話役,橋りょう特殊工,橋りょう塗装工,橋りょう世話役,土木一般世話役,高級船員,普通船員,潜水士,潜水連絡員,潜水送気員,山林砂防工,軌道工,型わく工,大工,左官,配管工,はつり工,防水工,板金工,タイル工,サッシ工,屋根ふき工,内装工,ガラス工,建具工,ダクト工,保温工,設備機械工,交通誘導警備員A,交通誘導警備員B
14,関 東,19 山梨県,"27,200","25,200","16,800","25,100","30,900","27,900","31,100","28,700","27,100","28,400","28,300","30,900","33,300","28,900","24,600","35,200","41,700","35,700","36,400","29,400","38,700","32,900","33,600","36,900","29,800","36,400","29,300","46,800","32,900","32,300","30,700","52,300","30,000","28,900","29,500","25,600","28,500","30,900","31,300",,"30,100",,"31,900","29,900","25,700","25,900","26,100","26,400","17,200","15,200"
15,関 東,20 長野県,"26,200","23,200","17,800","24,900","29,700","27,500","28,800","27,100","25,400","26,600","26,600","27,700","29,500","25,800","22,200","35,200","41,900","35,700","38,400","29,700","38,400","33,100","33,800","36,500","29,000","36,700","29,400","44,900","31,200","32,300","30,800","46,300","26,400","28,200","25,500","24,900","28,700","28,800","29,300","24,700","29,200",,"30,600","30,100","25,700","25,500","26,100","26,400","15,900","13,600"
16,北 陸,15 新潟県,"26,100","21,900","19,700","23,600","31,900","27,200","27,200","28,600","24,600","28,600","27,500","28,300","29,700","25,600","23,300","38,500","47,700","34,400","45,500","31,200","48,200","35,800","43,100","41,400","26,900","35,400","27,700","48,200","30,600","32,500","32,000","34,400","26,700","27,800","27,600","24,800","28,900","27,100","28,900","23,600","32,000",,"29,000","26,800","23,300","22,900","26,100","27,900","17,600","15,700"
17,北 陸,16 富山県,"29,000","23,200","18,400","23,300","33,900","30,500",,,"25,800","30,900","30,500","30,200","31,000","27,000","23,200","38,500","47,700","34,400","46,400","30,900","47,800","35,700","43,100","42,500","28,600","33,800","27,600","49,000","30,700","33,300","31,300","39,800","29,600","28,500","28,600","24,900","28,800","27,100","29,300",,"31,000",,"28,900","26,800","23,000","23,400","26,100","27,800","17,400","16,200"
18,北 陸,17 石川県,"28,200","24,000","18,400","23,200","34,200","30,800",,,"26,000","30,500","30,000","29,800","30,700","26,500","24,400","38,700","47,800","34,500","46,400","31,600","48,100","36,100","43,300","43,500","30,700","34,000","27,900","47,500","31,900","31,500","31,500","40,700","29,100","28,600","28,200","25,300","29,000","28,300","29,800",,"30,500",,"28,100","26,900","22,800","23,700","26,200","28,000","18,200","16,200"
19,中 部,21 岐阜県,"26,600","23,500","17,600","24,900","31,100","29,400",,,"23,800","28,800","28,000","28,300","30,700","28,300","24,500","35,600","44,000","33,500","42,500","31,300","43,900","33,500","38,000","39,600","29,300","33,800","26,600","43,400","29,400","26,800","32,800","45,100","30,200","31,300","26,900","24,200","28,200","27,100","29,300",,"31,600",,"29,200","29,100","25,300","25,400","28,200","29,000","18,400","15,900"
20,中 部,22 静岡県,"26,200","24,700","15,900","23,900","30,700","28,300","31,200","33,400","25,100","29,400","30,400","30,100","33,100","27,600","24,800","35,500","44,000","33,500","42,100","31,100","43,800","34,300","38,000","39,900","29,500","33,600","26,500","49,500","31,900","30,300","32,500","48,300","28,400","31,200","28,400","24,300","28,200","29,800","30,500","25,000","31,100",,"36,500","29,000","25,300","27,000","28,000","28,900","19,000","15,700"
21,中 部,23 愛知県,"27,700","23,500","18,100","24,200","32,200","30,200",,,"23,900","28,800","28,500","29,700","32,400","27,900","25,300","35,700","44,100","33,500","41,500","31,100","43,900","33,400","38,100","39,200","29,300","33,700","26,600","46,600","31,300","27,200","32,700","45,900","30,500","31,700","27,600","24,600","28,200","29,300","29,700",,"31,100",,"32,900","29,100","25,300","25,600","28,100","29,000","19,700","16,200"
22,中 部,24 三重県,"26,400","22,700","17,100","25,200","31,700","30,900",,,"24,000","29,200","29,700","28,800","31,900","27,400","24,300","35,600","44,200","33,600","42,600","30,800","43,900","33,500","38,200","40,800","28,300","33,400","26,400","46,600","30,500","27,100","32,600","47,500","28,500","31,300","27,000","24,900","28,300","29,200","31,800",,"31,800",,"33,000","29,100","25,600","26,600","28,200","29,000","18,700","15,500"
23,近 畿,18 福井県,"24,400","20,000","15,600","23,500","27,700","25,100",,"29,300","22,500","26,100","25,600","27,200","28,500","24,200","23,900","35,000","42,300","29,000","43,100","30,800","43,000","32,800","32,200","40,000","26,600","31,000","24,500","37,500","27,200","29,700","26,500","40,600","27,100","25,500","25,700","23,800","28,900","26,100","26,900",,"27,000",,"28,700","26,800","26,700","23,700","26,500","25,500","17,000","14,800"
